construction_type_name,u_w_per_m2_k,description_x,material_opaque_id_layers,description_y
BTAP-ExteriorFloor-SteelFramed-1,0.22675736961451246,"Steel Flooring with  Metal finish, 100 PSF load",117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load"
BTAP-ExteriorFloor-SteelFramed-1,0.22675736961451246,"Steel Flooring with  Metal finish, 100 PSF load",145,Installation of 14 gauge steel floor joist to beams/headers
BTAP-ExteriorFloor-SteelFramed-1,0.22675736961451246,"Steel Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-SteelFramed-1,0.22675736961451246,"Steel Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-SteelFramed-1,0.22675736961451246,"Steel Flooring with  Metal finish, 100 PSF load",99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)"
BTAP-ExteriorFloor-SteelFramed-1,0.22675736961451246,"Steel Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-SteelFramed-1,0.22675736961451246,"Steel Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load"
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",145,Installation of 14 gauge steel floor joist to beams/headers
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)"
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",56,"Isoboard, 1"" thick, RSI .98"
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-SteelFramed-1,0.18315018315018314,"Steel Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load"
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",145,Installation of 14 gauge steel floor joist to beams/headers
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)"
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",67,"Isoboard sheathing, 2"" thick RSI 1.93"
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-SteelFramed-1,0.1620745542949757,"Steel Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load"
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",145,Installation of 14 gauge steel floor joist to beams/headers
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",68,"Polyurethane Foam 4.5"" thick, RSI 5.15 modified to 5.5"" foaming RSI 6.18"
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",56,"Isoboard, 1"" thick, RSI .98"
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-SteelFramed-1,0.14204545454545456,"Steel Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-SteelFramed-1,0.115878,"Steel Flooring with  Metal finish, 100 PSF load",117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load"
BTAP-ExteriorFloor-SteelFramed-1,0.115878,"Steel Flooring with  Metal finish, 100 PSF load",145,Installation of 14 gauge steel floor joist to beams/headers
BTAP-ExteriorFloor-SteelFramed-1,0.115878,"Steel Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-SteelFramed-1,0.115878,"Steel Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-SteelFramed-1,0.115878,"Steel Flooring with  Metal finish, 100 PSF load",157,"12"" Blanket insulation, fibreglass, unfaced"
BTAP-ExteriorFloor-SteelFramed-1,0.115878,"Steel Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-SteelFramed-1,0.115878,"Steel Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",117,"Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load"
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",145,Installation of 14 gauge steel floor joist to beams/headers
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",157,"12"" Blanket insulation, fibreglass, unfaced"
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",158,"3.5"" Blanket insulation, fibreglass, unfaced"
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-SteelFramed-1,0.101393,"Steel Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-WoodFramed-1,0.22675736961451246,"Wood Flooring with  Metal finish, 100 PSF load",120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load"
BTAP-ExteriorFloor-WoodFramed-1,0.22675736961451246,"Wood Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-WoodFramed-1,0.22675736961451246,"Wood Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-WoodFramed-1,0.22675736961451246,"Wood Flooring with  Metal finish, 100 PSF load",99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)"
BTAP-ExteriorFloor-WoodFramed-1,0.22675736961451246,"Wood Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-WoodFramed-1,0.22675736961451246,"Wood Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-WoodFramed-1,0.18315018315018314,"Wood Flooring with  Metal finish, 100 PSF load",120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load"
BTAP-ExteriorFloor-WoodFramed-1,0.18315018315018314,"Wood Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-WoodFramed-1,0.18315018315018314,"Wood Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-WoodFramed-1,0.18315018315018314,"Wood Flooring with  Metal finish, 100 PSF load",99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)"
BTAP-ExteriorFloor-WoodFramed-1,0.18315018315018314,"Wood Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-WoodFramed-1,0.18315018315018314,"Wood Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-WoodFramed-1,0.1620745542949757,"Wood Flooring with  Metal finish, 100 PSF load",120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load"
BTAP-ExteriorFloor-WoodFramed-1,0.1620745542949757,"Wood Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-WoodFramed-1,0.1620745542949757,"Wood Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-WoodFramed-1,0.1620745542949757,"Wood Flooring with  Metal finish, 100 PSF load",99,"9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)"
BTAP-ExteriorFloor-WoodFramed-1,0.1620745542949757,"Wood Flooring with  Metal finish, 100 PSF load",54,"0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)"
BTAP-ExteriorFloor-WoodFramed-1,0.1620745542949757,"Wood Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-WoodFramed-1,0.1620745542949757,"Wood Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-WoodFramed-1,0.14204545454545456,"Wood Flooring with  Metal finish, 100 PSF load",120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load"
BTAP-ExteriorFloor-WoodFramed-1,0.14204545454545456,"Wood Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-WoodFramed-1,0.14204545454545456,"Wood Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-WoodFramed-1,0.14204545454545456,"Wood Flooring with  Metal finish, 100 PSF load",68,"Polyurethane Foam 4.5"" thick, RSI 5.15 modified to 5.5"" foaming RSI 6.18"
BTAP-ExteriorFloor-WoodFramed-1,0.14204545454545456,"Wood Flooring with  Metal finish, 100 PSF load",54,"0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)"
BTAP-ExteriorFloor-WoodFramed-1,0.14204545454545456,"Wood Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-WoodFramed-1,0.14204545454545456,"Wood Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-WoodFramed-1,0.115878,"Wood Flooring with  Metal finish, 100 PSF load",120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load"
BTAP-ExteriorFloor-WoodFramed-1,0.115878,"Wood Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-WoodFramed-1,0.115878,"Wood Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-WoodFramed-1,0.115878,"Wood Flooring with  Metal finish, 100 PSF load",157,"12"" Blanket insulation, fibreglass, unfaced"
BTAP-ExteriorFloor-WoodFramed-1,0.115878,"Wood Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-WoodFramed-1,0.115878,"Wood Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
BTAP-ExteriorFloor-WoodFramed-1,0.101393,"Wood Flooring with  Metal finish, 100 PSF load",120,"Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load"
BTAP-ExteriorFloor-WoodFramed-1,0.101393,"Wood Flooring with  Metal finish, 100 PSF load",118,"3/4"" thick CDX plywood subfloor, pneumatic nailed"
BTAP-ExteriorFloor-WoodFramed-1,0.101393,"Wood Flooring with  Metal finish, 100 PSF load",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorFloor-WoodFramed-1,0.101393,"Wood Flooring with  Metal finish, 100 PSF load",157,"12"" Blanket insulation, fibreglass, unfaced"
BTAP-ExteriorFloor-WoodFramed-1,0.101393,"Wood Flooring with  Metal finish, 100 PSF load",158,"3.5"" Blanket insulation, fibreglass, unfaced"
BTAP-ExteriorFloor-WoodFramed-1,0.101393,"Wood Flooring with  Metal finish, 100 PSF load",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorFloor-WoodFramed-1,0.101393,"Wood Flooring with  Metal finish, 100 PSF load",119,"Steel siding, bevelled with vinyl finish, 10"" width"
